V2,V3,V4,V5,V6,V7,V8,
5,148,0.002869132,-0.000651759,0.729702961,0.746563967,1,5
5,368,0.01593855,0.942403436,0.891805002,0.950619069,1,10
5,890,0.777700196,0.567728516,-0.000522447,0.785006021,1,19
5,1014,0.720832293,-0.001274447,0.740942775,-0.007422664,1,21
5,1310,0.945180364,0.958425982,0.845909548,0.909980842,1,25
5,1787,0.690234805,0.71538057,0.007618286,0.001756422,1,31
6,12,0.011568771,-0.018461268,-0.018124101,-0.006399966,1,1
6,14,0.007200152,0.000210014,-0.016695557,0.730878089,1,1
6,16,0.880644176,-0.015313819,0.818644615,-0.012740151,1,1
6,23,0.872416466,0.697898856,0.71421433,0.855518642,1,1
6,89,0.985692468,0.897187437,0.849828685,0.780564139,1,3
6,338,0.812240137,0.69906087,0.849383874,0.950254448,1,9
6,367,0.919025413,0.895889301,0.765109185,0.864064781,1,10
6,751,0.562577966,0.902763418,0.622966884,-0.007495064,1,17
6,803,0.79354326,0.827855724,0.834697579,0.805332696,1,18
6,1041,0.731690531,0.706407396,0.624870294,0.747714774,1,21
6,1156,0.790903164,0.553290301,0.696756689,0.770750428,1,23
6,1221,0.009326812,0.569017524,0.706503637,0.714201475,1,24
6,1244,0.696888101,0.846287608,0.555430767,0.705671053,1,24
6,1420,0.999275207,0.868984273,0.967911486,0.938615573,1,27
6,1526,0.924197893,0.888433106,0.961889816,0.91344558,1,28
6,1720,0.73498,0.696979696,0.788629818,0.74250409,1,30
6,1831,0.978486994,0.869317466,0.852562827,0.884439579,1,31
7,10,-0.019243725,0.951438518,0.00775576,0.687887518,1,1
7,13,0.612994736,0.666260589,0.801398514,0.934232446,1,1
7,15,0.003606078,0.008153552,-0.014437272,0.002880252,1,1
7,17,0.94352922,0.957182136,0.930954289,0.719556875,1,1
7,18,0.822877216,0.904723061,0.810504024,0.833905256,1,1
7,21,0.825511419,0.693444207,0.711261492,0.589739315,1,1
7,23,0.922422014,0.533734151,0.885784622,0.922596838,1,1
7,25,0.893083011,0.874458034,0.868347556,0.765318671,1,1
7,28,0.636345134,0.87565677,0.612762912,0.859798227,1,1
7,523,0.663715787,0.688347251,0.859811172,0.762595687,1,13
7,526,0.951262419,0.789515763,0.732148277,0.797687562,1,13
7,529,0.810649585,0.697351491,0.522977793,0.617913171,1,13
7,1191,0.870343189,0.667882471,0.627956432,0.804715849,1,24
7,1478,0.669942659,0.800558985,0.724300111,0.808058529,1,27
7,1640,0.824457425,0.877884832,0.681794171,0.880097319,1,29
7,1719,0.644859081,-0.00663316,0.782886888,0.785717359,1,30
7,1850,0.919051933,0.979679821,0.831511595,0.984980675,1,31
8,9,0.74002075,0.52965588,0.639981497,0.613687324,1,1
8,12,-0.007052116,-0.007964921,-0.005271459,0.581218258,1,1
8,16,0.884444631,0.009057408,0.923235961,0.955475619,1,1
8,18,0.929052986,0.964766732,0.931988292,0.947875604,1,1
8,26,0.552228464,0.770681412,0.857755889,0.608442869,1,1
8,28,0.766128744,0.883793936,0.651829062,0.516563002,1,1
8,119,0.63346697,-0.002962,0.827632056,-0.006939594,1,4
8,517,-0.002633825,-0.011883416,0.521257968,0.609171644,1,13
8,591,0.632814335,0.794600865,0.835587524,0.772886693,1,14
8,911,0.843050703,0.690480376,0.880196879,0.949126361,1,20
8,934,0.927760958,0.876801154,0.972125112,0.956500068,1,20
8,1206,0.888809998,0.841599354,0.981862222,0.951107178,1,24
8,1415,0.945763749,0.967887997,0.988606466,0.822421394,1,27
8,1487,0.770356327,0.866962106,0.831078174,0.905589643,1,27
8,1499,0.883694252,0.937946265,0.878988249,0.733669401,1,28
8,1746,0.643904959,0.711266898,0.682821754,0.553414349,1,30
8,1783,0.877181021,0.800170623,0.817460939,0.936260825,1,31
8,1892,0.890115967,0.623395832,0.952951029,0.846288755,1,32
8,1921,0.584874297,0.92859993,0.002586346,0.017361505,1,32
8,1927,0.634861719,0.820242757,0.703964438,0.705652401,1,32
8,1965,0.77424516,0.6778852,0.733103215,0.859019915,1,32
9,16,0.829276283,0.870035691,0.747012806,0.76338454,1,1
9,18,0.583703436,0.665768017,0.558149412,0.526072358,1,1
9,20,0.964117935,0.905266525,0.813655879,0.945129739,1,1
9,23,0.670253553,0.620265981,0.010567444,0.015925926,1,1
9,24,0.961281259,0.904515726,0.990550145,0.972090726,1,1
9,26,0.005702996,0.70674368,0.005005419,0.00835532,1,1
9,35,0.98695788,0.873097479,0.80453734,0.95637182,1,2
9,238,0.596105546,0.561417947,0.776624989,0.902051944,1,7
9,466,0.002870504,0.546365242,0.923336568,0.892509243,1,12
9,529,0.815108426,0.757722098,0.873732123,0.563439789,1,13
9,579,0.948675476,0.015895749,0.946879153,0.86473238,1,14
9,592,0.863630196,0.820176039,0.944883939,0.836618051,1,14
9,816,0.609363302,0.535281856,0.67836427,0.946337328,1,18
9,1352,0.781018274,0.925633737,0.810471163,0.882676559,1,26
9,1458,0.927720886,0.976350847,0.907898993,0.957643451,1,27
9,1619,0.746577015,0.878670356,0.678772415,0.820970063,1,29
9,1820,0.573658866,0.777668449,0.836030132,0.920457238,1,31
9,1866,0.827172601,0.913982201,0.762777866,0.861475764,1,31
9,1923,0.503723755,-0.017725014,0.779930073,0.792742756,1,32
10,14,0.87760154,0.897744175,0.971892006,0.950977891,1,1
10,18,0.960120772,0.817773544,0.950008995,0.97076189,1,1
10,20,0.855398339,0.731775578,0.851926338,0.698221927,1,1
10,21,0.016518962,-0.005542377,0.01350752,-0.002033403,1,1
10,22,0.858255205,0.709015619,0.596469932,-0.015579272,1,1
10,23,0.798589579,0.000735121,0.902207784,0.584708583,1,1
10,24,0.903124482,0.706017256,0.739856335,0.897308811,1,1
10,25,0.753813824,0.883354273,0.926608509,0.90046829,1,1
10,56,0.862902443,0.9748405,0.920681945,0.821197018,1,2
10,85,0.010427987,-0.010991299,0.595687478,-0.017927009,1,3
10,132,0.780578837,0.89310776,0.835746301,0.706401344,1,5
10,487,0.796901552,-0.000920858,0.817856495,0.692711323,1,12
10,539,0.011855505,0.8811979,0.790328916,0.771280128,1,13
10,722,0.932114603,0.967459554,0.868470908,0.750002434,1,17
10,1208,0.640887319,-0.018367219,0.783043304,0.648959149,1,24
10,1221,0.963907881,0.866176094,0.946265959,0.978412566,1,24
10,1276,-0.019013698,-0.002379397,0.706269973,0.561085208,1,25
10,1345,0.82686557,0.8513615,0.704087531,0.87572792,1,26
10,1439,0.917696955,0.789547906,0.748035476,0.782822105,1,27
10,1695,0.872945247,0.718800837,0.895418994,0.64243965,1,30
10,1985,0.532572236,0.001434702,0.765932581,0.637573073,1,32
11,14,0.965098978,0.974280999,0.965540741,0.950230674,1,1
11,15,-0.004599922,0.755081473,0.642243463,0.916700893,1,1
11,18,0.629241071,0.95886727,0.681474135,0.019492527,1,1
11,19,0.018734098,-0.004542625,-0.009711142,-0.000472389,1,1
11,27,-0.001776001,0.553839187,-0.017827046,0.001001062,1,1
11,28,0.853101305,-0.012032411,0.843800053,0.844225933,1,1
11,155,0.74422642,0.893049351,0.91634707,0.67989714,1,5
11,193,0.937879603,0.975959953,0.991627429,0.933393989,1,6
11,292,0.93930672,0.960536852,0.897973396,0.646653163,1,9
11,548,0.589195628,0.860962582,0.858496745,0.861445064,1,13
11,687,0.833124111,0.758030724,0.809294422,0.592086054,1,16
11,735,0.942853212,0.960694445,0.977633239,0.954232811,1,17
11,854,-0.015206623,0.712298317,0.628037441,0.754519336,1,19
11,891,-0.01710686,0.001950532,0.011044796,0.017854384,1,19
11,1087,0.933515743,0.87532645,0.925179304,0.929278899,1,22
11,1389,0.698967833,0.886044218,0.819865472,0.609904078,1,26
11,1471,0.92894898,0.974701969,0.901842113,0.624702804,1,27
11,1558,0.892519168,0.806082957,0.872814455,0.985598001,1,28
11,1634,0.809854597,0.738645304,0.8503128,0.711080902,1,29
11,1726,0.965048214,0.82855104,0.904486098,0.969417877,1,30
11,1982,0.933729143,0.884475,0.723086572,0.872484382,1,32
11,1996,0.685267962,0.966041666,0.932016757,0.885275382,1,32
12,13,0.841682574,0.812307125,0.791434412,0.898625077,1,1
12,16,0.498154465,0.910369436,-0.008600385,0.852140667,1,1
12,17,0.018179704,0.018171316,0.520452025,0.785981076,1,1
12,18,0.887984433,0.882973658,0.832540209,0.856617071,1,1
12,20,0.533722008,0.665121476,0.617937426,0.709117841,1,1
12,21,0.791706705,0.836282706,0.681493531,0.675950998,1,1
12,28,0.014629487,0.864111297,0.714780363,0.832375023,1,1
12,382,0.715437718,0.873408423,0.827140735,0.944184737,1,10
12,491,0.659618447,0.56292095,0.552258118,0.598390448,1,12
12,579,0.939664957,0.951138867,0.933373135,1.008250996,1,14
12,583,0.878317061,0.849338326,0.930775864,0.974998591,1,14
12,796,0.951423163,0.858296466,0.516824116,0.535934802,1,18
12,903,0.934448166,0.000881215,0.924061353,0.872051901,1,19
12,1006,0.923568796,0.800419762,0.870028918,0.954535992,1,21
12,1433,0.777191979,0.758406556,0.75115231,0.757010878,1,27
12,1848,0.785306297,0.781408125,0.503508363,0.82606086,1,31
12,1973,0.872223929,0.847976203,0.743998434,0.86705291,1,32
13,14,0.602412394,0.655043008,0.003839057,0.77078285,1,1
13,16,0.846311472,0.948477818,0.834112394,0.924771359,1,1
13,18,0.896857354,0.553570646,0.633209673,0.790165093,1,1
13,19,0.808214569,0.970946688,0.789088622,0.900045338,1,1
13,20,0.596626428,0.830414306,0.677570936,0.782772414,1,1
13,21,0.765123689,0.919094316,0.70402758,0.807519019,1,1
13,22,0.659181802,0.789117788,0.8471601,0.883733345,1,1
13,24,0.897257114,0.767950742,0.922277994,0.658429411,1,1
13,26,0.855214319,0.009132946,0.752341801,0.014353688,1,1
13,28,0.54533146,0.018542054,-0.012388247,0.571768539,1,1
13,88,0.520168351,0.801756102,0.644775742,0.896932549,1,3
13,229,0.79399987,0.722968526,0.978062387,0.919140162,1,7
13,309,0.011192293,0.014212102,-0.00562397,0.616749902,1,9
13,352,0.988153913,0.95288955,0.929939283,0.995954597,1,10
13,617,0.512106597,0.622186107,0.593154201,0.614550064,1,15
13,641,0.732872804,0.660402381,0.822588365,0.785490147,1,15
13,722,0.748275089,0.796433706,0.900691603,0.520005101,1,17
13,953,0.845521315,0.810963918,0.919502211,0.888961877,1,20
13,1060,0.873776724,0.513708982,0.680074241,0.674982203,1,22
13,1399,0.798925155,0.938226229,0.944898907,0.891574355,1,26
13,1443,0.585645416,0.783202404,0.687438999,0.017828079,1,27
13,1526,0.564257409,0.875319967,0.883760845,0.014901837,1,28
13,1539,0.93759764,0.914565133,0.55399012,-0.00904706,1,28
13,1849,0.857181847,0.967131489,0.838464554,0.945833455,1,31
13,1938,0.90632902,0.731721528,0.571013665,0.574927157,1,32
14,15,0.904856556,0.956482321,0.640907356,0.833397658,1,1
14,19,0.734763771,0.954972919,0.813766265,-0.009771862,1,1
14,26,0.986534687,0.897435064,0.92615949,0.918245767,1,1
14,28,0.904364575,0.933778364,0.950073935,0.690642317,1,1
14,357,0.942302973,0.84214474,0.761931993,0.9362448,1,10
14,503,0.812290755,0.816281647,0.784215705,0.629724858,1,13
14,873,0.000150815,0.682015443,-0.014053438,0.624562947,1,19
14,970,0.884142778,0.519731495,0.565253782,0.565112973,1,20
14,1112,0.960954966,0.894960268,0.840631178,0.872009411,1,23
14,1380,0.769416569,0.776184313,0.883041134,0.854126037,1,26
14,1507,0.824754353,0.904880651,0.935269422,0.871823606,1,28
14,1846,0.600453783,0.52433822,0.794748093,0.68397196,1,31
14,1901,0.972362806,0.930915881,0.950016118,0.887567527,1,32
15,20,0.776049152,0.84159402,0.707753948,0.927828957,1,1
15,25,0.826940356,0.980307761,0.835829503,0.948176322,1,1
15,26,0.6851064,0.701060785,0.508231012,-0.001407121,1,1
15,28,0.935369951,0.839678827,0.700909351,0.69862921,1,1
15,289,0.803413168,0.768915456,0.613655281,0.785110163,1,8
15,374,0.912356724,0.671240061,0.866125888,0.856602771,1,10
15,472,0.772677562,0.906072077,0.952508446,0.860063087,1,12
15,1013,0.681481826,0.623099605,-0.006193973,-0.010540024,1,21
15,1182,0.013286594,0.003034994,0.608983625,-0.006609353,1,24
15,1289,0.866992963,0.861084163,0.655237306,0.604673878,1,25
15,1927,0.656394474,0.928311716,0.838727889,0.866177386,1,32
16,17,0.723804054,0.892923177,0.897528551,0.799648474,1,1
16,19,0.914411838,0.750885446,0.85740388,0.603100454,1,1
16,26,0.838108263,0.85911451,0.865068606,0.898211273,1,1
16,27,0.775786172,0.947228803,0.682537995,0.908803064,1,1
16,133,0.647069885,0.850497579,0.872961483,0.546167388,1,5
16,702,0.769834715,0.786658313,0.602812984,0.516398425,1,16
16,913,0.972936322,0.754334835,0.891013626,0.818399884,1,20
16,941,0.889665221,0.633317955,0.831139751,0.843614017,1,20
16,1012,0.639984429,0.003958876,0.723324855,0.808300662,1,21
16,1114,0.629705936,0.910952637,0.941773252,0.546099947,1,23
16,1526,0.645606884,0.786037078,0.653446551,0.638418696,1,28
16,1714,0.838039855,0.773664442,0.85234207,0.627137781,1,30
16,1723,0.745333832,-0.015617713,-0.019050452,-0.006434676,1,30
16,1862,-0.003404143,-0.000994952,-0.01221026,-0.009437834,1,31
16,1904,0.86194843,0.825668221,0.933126271,0.713924057,1,32
16,1950,0.937507881,0.906227927,0.946257928,0.918755012,1,32
17,21,0.777074454,0.972255591,0.672193754,0.92570259,1,1
17,22,0.939490781,0.96235138,0.883505148,0.981232244,1,1
17,23,0.943340893,0.707548035,0.887010678,0.919125372,1,1
17,230,-0.006921302,0.682707975,0.002879286,-0.017669165,1,7
17,732,0.798213521,0.641354074,0.811069233,0.871066132,1,17
17,1057,0.59098225,0.79088867,0.692976866,0.716743867,1,22
17,1294,0.694978829,0.634834763,-0.004788527,-0.002349126,1,25
17,1952,0.867049418,0.956865288,0.875064708,0.847303693,1,32
18,20,0.939459085,0.960236248,0.900756368,0.961786768,1,1
18,21,0.84462371,0.752694755,0.840582862,0.648113992,1,1
18,22,0.943017617,0.831308981,0.872558532,0.952616316,1,1
18,24,0.918591477,0.928204545,0.886558179,0.941689824,1,1
18,27,0.947184937,0.952533088,0.981580246,0.970319252,1,1
18,79,0.864769601,0.643970918,0.9081582,0.865475971,1,3
18,126,0.948056516,0.011963125,0.818600456,0.842687018,1,5
18,218,-0.001065114,0.710439573,-0.016282505,0.660523001,1,7
18,219,0.901147678,0.019322972,0.943199205,0.804597174,1,7
18,286,0.528489711,-0.015312663,0.901570013,0.528261319,1,8
18,338,0.556243777,0.719535948,0.719174237,0.705576151,1,9
18,490,0.776163458,0.687349115,0.705669194,0.592512407,1,12
18,521,0.886637936,0.583718901,0.870100361,0.948041263,1,13
18,594,0.518202105,0.749967142,0.019855203,-0.01680008,1,14
18,596,-0.017309188,0.545130087,0.849239338,0.814315253,1,14
18,803,0.67425869,0.779537905,0.961741705,0.893863308,1,18
18,892,0.909911132,0.844062169,0.642079234,0.755107652,1,19
18,931,0.687786783,0.700610811,0.781991646,0.718067796,1,20
18,1067,0.894377093,0.667112545,0.807226056,0.980490977,1,22
18,1315,0.733384496,0.935009194,0.885865483,0.892637105,1,25
18,1431,0.8690733,0.669552961,0.937773294,0.656455885,1,27
18,1541,0.614148107,0.881190655,0.860904901,0.653843528,1,28
18,1691,0.762967891,0.647534661,0.590427432,0.680064115,1,30
18,1774,0.623601107,0.607267357,0.904123949,0.87076093,1,30
18,1782,0.772627953,0.633554664,0.812190814,0.744058259,1,31
19,20,0.721647362,0.732991407,0.871499177,0.515047451,1,1
19,21,0.899258319,0.868422574,0.019642317,0.628378693,1,1
19,24,0.810105774,0.623764375,0.8263718,-0.01678718,1,1
19,25,0.003193321,0.851705639,0.675025203,0.895340785,1,1
19,26,0.517425488,-0.018797302,0.703306325,0.013126289,1,1
19,27,0.017276821,0.658293396,-0.010249193,-0.002881955,1,1
19,81,0.817520971,0.016700261,0.801366956,0.671596665,1,3
19,269,0.677514682,0.947379374,-0.011870067,0.919136148,1,8
19,284,0.8220521,0.652763879,0.909000497,-0.00268326,1,8
19,317,0.950333791,1.000204837,0.879232803,0.952117719,1,9
19,751,0.902160474,0.925623119,0.944400481,0.632001865,1,17
19,776,0.885511083,0.765631572,0.596274745,0.634663731,1,17
19,930,-0.00143945,0.875653584,0.779971189,0.61196464,1,20
19,946,0.857724014,0.000339216,0.698533023,0.019498519,1,20
19,986,0.844036816,0.761105924,1.004409747,0.938513651,1,21
19,1180,-0.010708826,0.85821923,0.764477885,0.889728767,1,24
19,1634,0.815563396,0.639426887,0.741333082,0.59902862,1,29
19,1828,0.880647193,0.866021815,0.913401663,0.766793287,1,31
19,1833,0.908904124,0.920735171,0.973327192,0.960525772,1,31
20,21,0.755369091,0.772263766,0.740551607,0.71408513,1,1
20,22,0.013940409,0.575099066,0.845683013,0.81108081,1,1
20,24,0.967560762,0.9402417,0.871813167,0.919876608,1,1
20,26,0.641013228,0.56051867,0.832904098,0.015416635,1,1
20,27,0.015617576,0.672559992,0.872147462,-0.002298293,1,1
20,28,0.554939506,0.845011424,0.776232672,0.546058866,1,1
20,44,0.58766829,0.628976514,0.69341321,0.968696111,1,2
20,825,0.93954501,0.763089429,0.79653592,0.768913218,1,18
20,960,0.774428687,0.66655612,0.951699685,0.570573191,1,20
20,1066,0.78445179,0.794442698,0.607433701,0.925532462,1,22
20,1133,0.772066681,-0.017781263,0.857404662,0.002255303,1,23
20,1505,0.889840433,0.975447068,0.908293198,0.995213135,1,28
20,1866,0.564283919,0.559200661,0.019372078,-0.00952032,1,31
20,1930,0.939104145,0.840811392,0.974779595,0.716219283,1,32
20,1939,0.961687788,0.950434712,0.921787015,0.931801556,1,32
21,100,0.681612873,0.012810297,0.007183882,0.01674019,1,4
21,180,0.864323813,0.965221403,0.927733323,0.889907906,1,6
21,363,0.726238652,0.889402595,0.93601961,0.924981944,1,10
21,494,0.934035636,0.861241985,0.909421024,0.905373613,1,13
21,710,0.817529389,0.00947979,0.504715868,0.771823462,1,16
21,746,0.689709176,0.878355028,0.632083878,0.780624116,1,17
21,747,0.609886016,0.779676081,0.690889446,0.81251669,1,17
21,848,0.813067786,0.84694901,0.824202842,0.763864526,1,19
21,1073,0.830672713,0.584717868,0.883155298,0.004348005,1,22
21,1522,0.954940951,0.93555019,0.668320904,0.986363454,1,28
21,1597,0.912021481,0.886527134,0.804599059,0.831803518,1,29
21,1700,0.617682211,0.898156485,0.68825241,0.917728078,1,30
21,1890,-0.004841452,0.86825373,0.585957794,0.849069172,1,32
22,24,0.866126393,0.980775388,0.98487213,0.871052584,1,1
22,27,0.942694084,0.835671375,0.904826037,0.660862941,1,1
22,286,0.592506324,0.545212851,0.678887616,0.874353766,1,8
22,464,0.865451879,0.860655617,0.981251012,0.920235929,1,12
22,489,0.838966714,0.786317362,0.830575862,0.913990277,1,12
22,1238,0.941558542,0.654680445,0.761226985,0.829552306,1,24
22,1369,0.891318153,0.944435327,0.975053461,0.783287386,1,26
22,1422,0.536053059,0.495406557,-0.017617867,0.714752161,1,27
22,1674,0.971741342,0.979830588,0.979771208,0.87859144,1,29
22,1733,0.669192104,0.9506903,0.959605082,0.962913632,1,30
22,1767,0.972622394,0.899382804,0.830666763,0.908516347,1,30
22,1781,0.859485169,0.5818846,-0.008631442,-0.007135981,1,31
23,26,0.583120212,0.827995731,0.863751587,0.891209968,1,1
23,27,0.811815692,-0.003381723,0.912737023,0.5228637,1,1
23,247,0.917526729,0.802192627,0.879677384,0.878804821,1,8
23,313,0.842912057,0.726435395,0.803574088,0.722355602,1,9
23,356,0.579669272,0.606708394,0.722235453,0.775340394,1,10
23,402,0.840293364,0.00412459,0.506391259,0.73751072,1,11
23,455,0.87200316,0.850477303,0.677652991,0.795916343,1,12
23,466,0.924101453,0.785619357,0.965985853,0.987245132,1,12
23,775,0.003041108,0.809350868,0.832172333,0.515375858,1,17
23,783,0.838831213,0.686432895,0.809222196,0.963613765,1,18
23,924,0.736154742,0.708223857,0.609202558,0.716702471,1,20
23,1004,0.759337177,0.622653252,0.878956047,0.629736894,1,21
23,1300,0.000826776,0.756917485,0.901642571,0.773451509,1,25
23,1387,-0.003114714,0.792537587,0.017302831,0.89178408,1,26
23,1427,0.768074798,0.936921874,0.794909083,0.944659129,1,27
23,1693,0.934334229,0.838163536,0.888847334,0.86583428,1,30
23,1724,0.930317422,0.670511544,0.816824524,0.910881525,1,30
24,25,0.657564713,0.863194957,0.866088393,0.726338882,1,1
24,26,0.900885016,0.91179574,0.894013587,0.887868341,1,1
24,27,0.93572032,0.74858555,0.794265304,0.900574017,1,1
24,28,0.96274184,0.619462683,0.655255937,0.816834077,1,1
24,108,0.972102762,0.94750565,0.934518513,0.721947371,1,4
24,310,0.92251019,0.919840067,0.943681462,0.949183643,1,9
24,482,0.937694122,0.913557214,0.935797965,0.959381602,1,12
24,1275,0.792242204,0.622712499,0.668924513,0.895068895,1,25
24,1416,0.830593532,0.976065042,0.880834289,0.967706641,1,27
24,1497,0.650520546,0.84541623,0.749343766,0.525263669,1,27
25,26,0.928994269,0.79518264,0.908006726,0.898874208,1,1
25,304,0.856110855,0.930021482,0.895029212,0.930262829,1,9
25,552,0.002688658,0.644008946,0.731068138,0.761476477,1,14
25,1144,-0.014575381,0.637835437,0.017096365,0.778753284,1,23
25,1537,0.767159552,0.862738237,0.917953827,0.93554846,1,28
25,1589,0.92395773,0.837007629,0.825572061,0.943200242,1,29
25,1923,0.76965351,0.757243358,0.904845288,0.802694778,1,32
26,27,0.725878392,0.646895594,0.849746432,0.919019017,1,1
26,28,0.919779962,0.904583508,0.850394101,0.859386856,1,1
26,108,0.588614719,0.675952125,0.803786732,0.510189598,1,4
26,532,0.962470488,0.887419248,0.824831015,0.862747961,1,13
