source,target,value
AD016,AD024,0.9793
AD017,AD025,0.9917
AD017,AD028,0.9732
AD017,AS020,0.9838
AD018,AD019,0.9581
AD018,AD020,0.9256
AD018,AD023,0.92
AD018,AD030,0.9202
AD018,AD032,0.979
AD019,AD021,0.9234
AD019,AD023,0.9965
AD019,AD025,0.9445
AD019,AD026,0.9462
AD019,AD032,0.9653
AD019,BD046,0.9234
AD020,AD022,0.9295
AD020,AD023,0.9239
AD020,AD030,0.9364
AD020,AD032,0.9583
AD020,BC035,0.9342
AD021,AD024,0.9554
AD021,AD029,0.9229
AD021,BG008,0.9373
AD022,AD024,0.9248
AD022,AD031,0.9265
AD022,AM002,0.9095
AD023,AD029,0.9362
AD023,BH085,0.947
AD024,AD026,0.9524
AD024,AD028,0.9579
AD024,AD030,0.9643
AD024,AL037,0.9184
AD024,AT061,0.9217
AD024,BH005,0.9199
AD025,AN005,0.925
AD026,AD028,0.9125
AD026,AD030,0.9564
AD027,AD028,0.9367
AD027,AR025,0.9452
AD027,BF024,0.9659
AD028,AD032,0.9591
AD028,AM016,0.9418
AD030,AD031,0.9804
AD031,AS026,0.9383
AD032,AU022,0.9191
AD032,BD057,0.9468
AE001,AE013,0.9558
AE001,AE017,0.9167
AE001,AE028,0.9066
AE001,BI012,0.9201
AE002,AE008,0.9307
AE002,AE014,0.953
AE002,AE017,0.9347
AE002,AE021,0.9712
AE002,AE025,0.9349
AE002,AE028,0.9509
AE002,AE031,0.9411
AE002,AM002,0.9621
AE003,AE015,0.936
AE003,AE016,0.9613
AE003,AE017,0.9478
AE003,AE018,0.9037
AE003,AE020,0.9026
AE003,AE021,0.9281
AE003,AE023,0.9684
AE003,AE024,0.9216
AE003,AX064,0.9605
AE004,AE006,0.9357
AE004,AE012,0.9051
AE004,AE019,0.9103
AE004,AE023,0.9446
AE004,AE025,0.9139
AE004,AE026,0.9416
AE004,AE027,0.9496
AE004,AE032,0.954
AE004,AE033,0.9534
AE004,BC021,0.9645
AE004,BH095,0.9075
AE005,AE017,0.9154
AE005,AE019,0.9174
AE005,AE031,0.9176
AE005,AL017,0.9697
AE005,AU035,0.9019
AE005,BJ036,0.928
AE006,AE009,0.9236
AE006,AE014,0.9867
AE006,AE015,0.9637
AE006,AE016,0.9262
AE006,AE017,0.9587
AE006,AE024,0.9616
AE006,AE031,0.9505
AE006,AE033,0.9513
AE007,AE013,0.9116
AE007,AE019,0.9082
AE007,AE026,0.9284
AE007,AE032,0.9012
AE007,BE052,0.9797
AE008,AE010,0.9343
AE008,AE013,0.9263
AE008,AE015,0.9562
AE008,AE016,0.9497
AE009,AE011,0.9338
AE009,AE012,0.9041
AE009,AE016,0.9672
AE009,AE018,0.9214
AE009,AE027,0.943
AE009,AE028,0.9305
AE009,AE030,0.9743
AE010,AE012,0.9102
AE010,AE014,0.9797
AE010,AE017,0.9446
AE010,AE018,0.921
AE010,AE020,0.9371
AE010,AE022,0.9445
AE010,AE027,0.9633
AE010,AE028,0.9708
AE010,AE033,0.922
AE011,AE014,0.9442
AE011,AE019,0.9152
AE011,AE025,0.9436
AE011,AW052,0.9205
AE012,AE016,0.9453
AE012,AE025,0.9426
AE012,AE026,0.947
AE012,AE027,0.9409
AE012,AX061,0.9506
AE013,AE018,0.928
AE013,AE019,0.9285
AE013,AE033,0.9598
AE014,AE016,0.9459
AE014,AE017,0.9581
AE014,AE024,0.9247
AE014,AE025,0.9207
AE014,AE028,0.9783
AE014,AE029,0.9828
AE014,AE032,0.9409
AE014,AE033,0.9199
AE014,AJ022,0.9137
AE015,AE027,0.9845
AE016,AE021,0.9649
AE016,AE024,0.961
AE016,AE027,0.928
AE016,AE029,0.9045
AE016,AE032,0.9816
AE016,AE033,0.9657
AE017,AE019,0.9524
AE017,AE020,0.9844
AE017,AE027,0.9051
AE017,AQ022,0.959
AE017,AQ051,0.9455
AE017,AW026,0.9226
AE018,AE021,0.9872
AE018,AE029,0.9077
AE018,AE033,0.909
AE018,AP002,0.9206
AE019,AE021,0.9833
AE019,AE023,0.9069
AE019,AE026,0.913
AE019,AE030,0.9313
AE019,AM031,0.9092
AE020,AE023,0.953
AE020,AE027,0.9652
AE021,AE025,0.9455
AE021,AE027,0.9523
AE021,AE029,0.9387
AE021,AU043,0.9341
AE022,AE025,0.9222
AE022,AE027,0.9583
AE022,AE032,0.9536
AE022,AX028,0.9087
AE023,AE029,0.9479
AE023,AE030,0.9216
AE023,AE032,0.9365
AE024,AE026,0.977
AE024,AE029,0.9394
AE024,AE032,0.9306
AE024,AE033,0.9282
AE024,AR039,0.9339
AE024,BG054,0.93
AE025,AE026,0.9465
AE025,AE033,0.9198
AE026,AE028,0.9745
AE026,AN048,0.9103
AE026,AQ018,0.9212
AE026,AQ020,0.9501
AE026,BD022,0.9409
AE028,AE033,0.9561
AE029,AH015,0.9711
AE030,AE031,0.9127
AE030,AE032,0.9079
AE030,AE033,0.9866
AE030,BC031,0.9367
AE031,AE032,0.9057
AE031,AN047,0.9295
AE031,BI065,0.9091
AE032,AE033,0.9564
AE032,AJ023,0.9668
AE033,AV026,0.9631
AE033,BH100,0.9382
AF001,AF006,0.9001
AF001,AF012,0.9298
AF001,AF013,0.923
AF001,AF017,0.94
AF001,AF022,0.9313
AF001,AF030,0.9636
AF002,AF005,0.911
AF002,AF008,0.906
AF002,AF010,0.9808
AF002,AF020,0.909
AF002,AF033,0.9022
AF002,AY031,0.9853
AF003,AF008,0.9051
AF003,AF013,0.9313
AF003,AF015,0.9786
AF003,AF025,0.9379
AF003,AF026,0.9896
AF003,AV006,0.9109
AF004,AF005,0.9857
AF004,AF009,0.9328
AF004,AF011,0.9763
AF004,AF014,0.9136
AF004,AF016,0.9298
AF004,AF021,0.9437
AF004,AF028,0.9805
AF004,AF029,0.9002
AF004,BI033,0.9035
AF005,AF018,0.9374
AF005,AF022,0.9372
AF005,AF024,0.9178
AF005,AF025,0.9497
AF005,AF027,0.93
AF005,AF028,0.9309
AF005,AF033,0.9007
AF006,AF028,0.9359
AF006,AF029,0.9208
AF006,AF032,0.9601
AF006,AI027,0.9151
AF007,AF011,0.9365
AF007,AF013,0.9007
AF007,AF022,0.979
AF007,AF026,0.9138
AF008,AF013,0.9712
AF008,AF014,0.9117
AF008,AF015,0.9383
AF008,AF018,0.9566
AF008,AF019,0.9118
AF008,AF020,0.953
AF008,AF027,0.9007
AF009,AF019,0.9463
AF009,AF023,0.9555
AF009,AH015,0.9313
AF010,AF018,0.9512
AF010,AF019,0.929
AF010,AF024,0.9223
AF010,AF026,0.9441
AF010,AF030,0.9653
AF010,AO035,0.9149
AF011,AF013,0.9828
AF011,AF016,0.9454
AF011,BI064,0.9216
AF012,AF015,0.9104
AF012,AF020,0.9223
AF012,AF027,0.9088
AF013,AF014,0.979
AF013,AF024,0.9214
AF013,AF033,0.9267
AF013,AM011,0.9328
AF013,BG059,0.9499
AF014,AF015,0.9126
AF014,AF020,0.9287
AF014,AF022,0.9688
AF014,AF032,0.9047
AF014,AM042,0.9838
AF015,AF019,0.9109
AF015,AF022,0.9264
AF015,AF025,0.9243
AF015,AT027,0.9267
AF015,AX014,0.9015
AF016,AF020,0.9232
AF017,AF022,0.9263
AF017,AF024,0.9868
AF017,AF028,0.9616
AF017,BJ026,0.9186
AF018,AF019,0.9346
AF018,AF020,0.963
AF018,AF021,0.9484
AF018,AF022,0.9325
AF018,AF025,0.9579
AF018,AF027,0.9175
AF018,AF029,0.9769
AF018,AF032,0.9269
AF018,AF033,0.9589
AF018,AP007,0.9965
AF019,AF020,0.9476
AF019,AF022,0.9618
AF019,AF027,0.9203
AF019,AF030,0.9848
AF019,AF032,0.9647
AF019,AF033,0.9624
AF020,AF026,0.9295
AF020,AF031,0.9234
AF020,AM030,0.9402
AF020,BD069,0.9188
AF021,AF022,0.9745
AF021,AF023,0.958
AF021,AF031,0.928
AF022,AF024,0.9602
AF022,AF028,0.9052
AF022,BC017,0.9144
AF022,BH087,0.9033
AF023,AF027,0.9169
AF023,AF031,0.9621
AF023,AO047,0.9296
AF024,AF029,0.916
AF024,AF031,0.9574
AF025,AF027,0.9611
AF025,AF028,0.9389
AF025,AF029,0.9618
AF025,AX034,0.9405
AF026,AU026,0.9079
AF028,AK006,0.971
AF028,BJ081,0.9602
AF029,AJ036,0.9256
AF029,AO030,0.9355
AF029,AS060,0.9288
AF030,AG008,0.9193
AF030,AQ026,0.9459
AF030,BI086,0.9653
AF031,AF032,0.916
AF031,AL005,0.9061
AF031,BD030,0.9273
AF031,BF008,0.9597
AF031,BF016,0.9041
AF032,AF033,0.956
AF032,AO047,0.9682
AF033,BI026,0.9702
AG001,AG002,0.9156
AG001,AG013,0.9053
AG001,AG014,0.9325
AG001,AG018,0.9169
AG001,AG023,0.9257
AG001,AG027,0.9163
AG001,AG031,0.9168
AG001,AI001,0.9781
AG002,AG004,0.9478
AG002,AG007,0.918
AG002,AG009,0.9444
AG002,AG013,0.9504
AG002,AG014,0.945
AG002,AG018,0.9153
AG002,AG020,0.9391
AG002,AG022,0.9098
AG002,AG024,0.9107
AG002,AG027,0.9584
AG002,AR026,0.9395
AG003,AG008,0.9771
AG003,AG009,0.9855
AG003,AG010,0.9309
AG003,AG013,0.9305
AG003,AG018,0.9716
AG003,AG022,0.9717
AG003,AG029,0.9194
AG003,AG030,0.953
AG003,AG035,0.9051
AG003,BH028,0.974
AG004,AG006,0.9706
AG004,AG008,0.9215
AG004,AG015,0.9484
AG004,AG022,0.9232
AG004,AG024,0.9589
AG004,AG034,0.9219
AG005,AG007,0.9032
AG005,AG011,0.9341
AG005,AG012,0.9027
AG005,AG013,0.9714
AG005,AG016,0.9708
AG005,AP026,0.9319
AG006,AG008,0.9259
AG006,AG012,0.9398
AG006,AG014,0.9318
AG006,AG020,0.926
AG006,AG021,0.9658
AG006,AG026,0.91
AG006,AG027,0.9382
AG006,AG029,0.9638
AG006,AG034,0.9783
AG006,AP011,0.9513
AG006,AY037,0.9866
AG007,AG012,0.9359
AG007,AG014,0.9265
AG007,AG018,0.9873
AG007,AG019,0.9001
AG007,AG025,0.9239
AG007,AG026,0.9107
AG007,AG029,0.9807
AG008,AG016,0.9592
AG008,AG027,0.98
AG008,AG028,0.9255
AG009,AG019,0.9206
AG009,AG024,0.9169
AG009,AG025,0.979
AG009,AG028,0.9097
AG009,AG030,0.946
AG009,AG032,0.9084
AG009,AS044,0.9601
AG010,AG015,0.9742
AG010,AG021,0.9059
AG010,AH016,0.944
AG011,AG016,0.9148
AG011,AG020,0.9702
AG011,AG021,0.9816
AG011,AG026,0.9784
AG011,AG035,0.936
AG012,AG019,0.9218
AG012,AG024,0.9414
AG012,AG025,0.9048
AG012,AG035,0.9111
AG012,AQ045,0.9191
AG013,AG014,0.9237
AG013,AG021,0.9697
AG013,AG034,0.9645
AG013,AG035,0.9234
AG014,AG023,0.9601
AG014,AG024,0.9917
AG014,AG025,0.9852
AG014,AG026,0.9269
AG014,AG030,0.9733
AG014,AG031,0.9712
AG014,AG033,0.9083
AG014,BJ041,0.9535
AG015,AG019,0.9685
AG015,AG022,0.9737
AG015,AG026,0.9059
AG015,AG028,0.9348
AG015,AU034,0.9243
AG015,BI064,0.9396
AG016,AG029,0.9929
AG017,AG018,0.943
AG017,AG020,0.9502
AG017,AG027,0.9226
AG017,AG033,0.9313
AG017,AT007,0.9234
AG017,AW018,0.9002
AG018,AG032,0.9235
AG018,AG034,0.9928
AG018,BE045,0.9008
AG019,AG021,0.9153
AG019,AG028,0.9629
AG019,AG030,0.9454
AG020,AG023,0.9467
AG020,AG024,0.915
AG020,AG032,0.9442
AG020,AU028,0.9022
AG020,BH057,0.9149
AG021,AG030,0.9093
AG021,AG031,0.9189
AG021,AG032,0.9031
AG021,AG034,0.9671
AG022,AG023,0.977
AG022,AG024,0.9333
AG022,AG029,0.9267
AG022,AG032,0.9452
AG022,AG034,0.9316
AG022,AQ021,0.9331
AG022,BC039,0.9719
AG022,BE050,0.9627
AG022,BH034,0.9618
AG023,AG026,0.9223
AG023,AG030,0.9021
AG023,AG032,0.9402
AG023,AH035,0.9015
AG023,BG080,0.9168
AG024,AG029,0.9139
AG024,AG032,0.9713
AG025,AG028,0.953
AG025,BC016,0.9004
AG026,AG027,0.9724
AG026,AG032,0.9832
AG028,AG029,0.9638
AG028,AG035,0.9445
AG029,AS057,0.9783
AG030,AG033,0.9189
AG031,AG032,0.9496
AG032,AZ051,0.9821
AG033,AG035,0.9264
AG033,AR018,0.9473
AH001,AH006,0.9127
AH001,AH010,0.9017
AH001,AH035,0.91
AH001,AH036,0.9492
AH002,AH025,0.9712
AH002,AH031,0.9806
AH002,AH033,0.9727
AH002,AH035,0.9344
AH003,AH004,0.9189
AH003,AH011,0.9251
AH003,AH012,0.987
AH003,AH013,0.94
AH003,AH016,0.956
AH003,AH027,0.9375
AH004,AH005,0.934
AH004,AH014,0.9176
AH004,AH023,0.9696
AH005,AH020,0.917
AH005,AH023,0.9058
AH005,AH030,0.9766
AH005,AH032,0.9477
AH006,AH008,0.9204
AH006,AH017,0.9195
AH006,AH021,0.9132
AH006,AH034,0.9662
AH006,AH037,0.9631
AH007,AH011,0.9319
AH007,AH014,0.9475
AH007,AH025,0.9282
AH007,AH026,0.9854
AH007,AH035,0.955
AH007,AH036,0.9183
AH008,AH012,0.9352
AH008,AH023,0.9105
AH009,AH017,0.947
AH009,AH019,0.9736
AH009,AH024,0.948
AH009,AH028,0.9402
AH010,AH011,0.9681
AH010,AH023,0.9302
AH010,AH026,0.9726
AH010,AH029,0.9643
AH010,AH032,0.9414
AH010,AK012,0.9708
AH011,AH020,0.9467
AH011,AH022,0.9059
AH011,AH026,0.9222
AH011,AH027,0.9504
AH011,AH028,0.9577
AH011,AH032,0.9466
AH011,AH034,0.9293
AH012,AH015,0.9941
AH012,AH017,0.9536
AH012,AH021,0.9767
AH012,AH023,0.9123
AH012,AH026,0.9547
AH012,AR019,0.9132
AH013,AH025,0.9334
AH013,AH028,0.9846
AH013,AH029,0.9381
AH013,AH035,0.9718
AH013,BH053,0.9134
AH014,AH027,0.9505
AH014,AH028,0.934
AH014,AH029,0.9331
AH014,BH054,0.949
AH015,AH016,0.961
AH015,AH024,0.9819
AH015,AH029,0.9054
AH015,AH035,0.9015
AH016,AH029,0.9414
AH016,BC068,0.9361
AH017,AH019,0.9249
AH017,AH027,0.9041
AH017,AH033,0.9364
AH018,AH025,0.9289
AH018,AH031,0.9061
AH018,AH035,0.9533
AH018,AS057,0.9321
AH019,AH020,0.9106
AH019,AH021,0.9392
AH019,AH027,0.9325
AH019,AH028,0.9487
AH019,AH033,0.9042
AH019,BC037,0.9086
AH019,BF032,0.9524
AH020,AH021,0.9556
AH020,AH024,0.9326
AH020,AH027,0.9272
AH020,AH037,0.9212
AH021,AH028,0.9791
AH021,AH033,0.9459
AH021,AH034,0.9052
AH021,AM014,0.941
AH021,BJ004,0.9265
AH022,BE025,0.9196
AH022,BE062,0.9363
AH023,AH028,0.9195
AH023,AH030,0.9226
AH024,AH027,0.9033
AH024,AH031,0.9062
AH024,AH034,0.937
AH025,AH026,0.9246
AH025,AH029,0.9474
AH025,AH030,0.9126
AH025,AT057,0.9202
AH026,AH037,0.9414
AH026,AX005,0.9174
AH026,AY049,0.9657
AH027,AH033,0.9574
AH027,AV009,0.9661
AH027,BC059,0.9241
AH028,AH030,0.9471
AH028,AH031,0.9389
AH028,AH035,0.9162
AH029,AH034,0.9182
AH030,AH031,0.9186
AH030,AH033,0.91
AH030,AH035,0.9408
AH030,AS038,0.9273
AH031,AH033,0.9558
AH032,AH034,0.9632
AH032,AH037,0.9609
AH032,AU020,0.9721
AH032,BI059,0.9755
AH033,BD010,0.9283
AH033,BH101,0.9517
AH034,AH035,0.9401
AH034,AL043,0.987
AH035,AH037,0.9271
AH035,AP045,0.9473
AH036,AH037,0.9027
AH037,BD066,0.9499
AI001,AI002,0.9112
AI001,AI010,0.9128
AI001,AI015,0.9273
AI001,AI022,0.9266
AI001,AI024,0.9828
AI001,AI025,0.9754
AI001,AI028,0.936
AI001,AI030,0.9399
AI001,AI033,0.9154
AI001,AM032,0.9061
AI002,AI007,0.9296
AI002,AI010,0.9282
AI002,AI011,0.9077
AI002,AI012,0.9223
AI002,AI013,0.9387
AI002,AI018,0.9535
AI002,AI019,0.9082
AI002,AI024,0.9157
AI002,AI031,0.9185
AI002,AI034,0.9847
AI002,AI036,0.9585
AI002,AI037,0.9233
AI002,AP036,0.9891
AI003,AI010,0.9152
AI003,AI015,0.96
AI003,AI020,0.9204
AI003,AI027,0.9202
AI003,AI033,0.9617
AI003,AI036,0.9147
AI003,AI037,0.9637
AI003,AL041,0.9219
AI003,BD077,0.9695
AI003,BH017,0.966
AI004,AI005,0.9097
AI004,AI010,0.9082
AI004,AI012,0.9615
AI004,AI035,0.9256
AI004,BI045,0.9335
AI005,AI009,0.9204
AI005,AI015,0.9644
AI005,AI021,0.9354
AI005,AI025,0.9223
AI005,AI038,0.9171
AI005,BJ075,0.9738
AI006,AI008,0.9289
AI006,AI017,0.9525
AI006,AI024,0.9673
AI006,AI031,0.9233
AI007,AI008,0.9117
AI007,AI011,0.9009
AI007,AI014,0.9789
AI007,AI024,0.9501
AI007,AI026,0.9026
AI007,AI030,0.9324
AI007,AI033,0.9174
AI007,AI034,0.9113
AI007,AI036,0.9727
AI008,AI023,0.9441
AI008,AI026,0.9059
AI008,AI027,0.9063
AI008,AI029,0.9114
AI008,AI034,0.9641
AI008,AI037,0.9003
AI009,AI033,0.9207
AI009,AI037,0.9131
AI009,AW021,0.9065
AI010,AI012,0.9029
AI010,AI013,0.9275
AI010,AI017,0.9052
AI010,AI018,0.9139
AI010,AI030,0.9126
AI010,AI033,0.9116
AI010,AI034,0.9588
AI010,AI038,0.9365
AI010,AM007,0.9632
AI011,AI015,0.9396
AI011,AI019,0.9112
AI011,AI026,0.9292
AI011,AI028,0.9209
AI011,BG069,0.9791
AI012,AI019,0.9167
AI012,AI030,0.9769
AI012,BD033,0.9173
AI013,AI018,0.9559
AI013,AI021,0.9866
AI013,AI026,0.9133
AI013,AI030,0.9689
AI013,AI037,0.9698
AI014,AI016,0.9773
AI014,AI023,0.9108
AI014,AI025,0.909
AI014,AS061,0.9043
AI014,AU045,0.9835
AI015,AI017,0.9583
AI015,AI019,0.9289
AI015,AI021,0.9151
AI015,AI022,0.966
AI015,AI026,0.9219
AI015,AI028,0.9337
AI015,AI037,0.9507
AI015,AW010,0.9441
AI016,AI019,0.9676
AI016,AI022,0.9249
AI016,AI023,0.9201
AI016,AI028,0.9364
AI016,AI031,0.933
AI016,AI035,0.9623
AI017,AI018,0.9475
AI017,AI021,0.914
AI017,AI038,0.9698
AI018,AI022,0.976
AI018,AI024,0.922
AI018,AI032,0.9067
AI018,AI038,0.9254
AI018,BC027,0.9575
AI018,BI082,0.9189
AI019,AI023,0.9158
AI019,AI031,0.9665
AI019,AI035,0.9439
AI020,AI023,0.9645
AI020,AI025,0.9076
AI020,AI028,0.9575
AI020,AI030,0.9027
AI021,AI022,0.9598
AI021,AI029,0.9705
AI021,AI031,0.9239
AI021,AI038,0.9538
AI022,AI025,0.9015
AI022,AI033,0.9134
AI022,BD070,0.9138
AI022,BJ027,0.9847
AI023,AI025,0.9474
AI023,AI028,0.9325
AI023,AI031,0.9396
AI023,AI038,0.9519
AI023,AJ019,0.9642
AI023,AS010,0.9579
AI024,AI032,0.9334
AI024,AI035,0.9274
AI024,AM045,0.9838
AI025,AI032,0.9529
AI025,AI033,0.933
AI026,AI028,0.9343
AI026,AI029,0.9473
AI026,AI032,0.9498
AI026,AI037,0.9268
AI027,AI028,0.9281
AI027,AI035,0.9796
AI028,AI032,0.9458
AI028,AI036,0.9804
AI028,AI038,0.9581
AI029,BG059,0.9354
AI030,AL019,0.9175
AI030,AM035,0.9666
AI030,BF009,0.9158
AI031,AI032,0.9247
AI031,AI036,0.9561
AI033,AI037,0.9602
AI033,AQ054,0.9101
AI033,AX013,0.9451
AI034,AI038,0.916
AI035,AX066,0.9623
AI036,AI038,0.9862
AI036,BF060,0.932
AJ001,AJ004,0.9331
AJ001,AJ005,0.9498
AJ001,AJ009,0.9043
AJ001,AJ016,0.9499
AJ001,AJ021,0.9218
AJ001,AJ033,0.9192
AJ001,AJ041,0.9554
AJ001,AJ042,0.9271
AJ002,AJ008,0.909
AJ002,AJ019,0.9852
AJ002,AJ020,0.9033
AJ002,AJ028,0.915
AJ002,AJ031,0.9196
AJ002,AJ035,0.9499
AJ002,AJ037,0.9485
AJ002,BE061,0.9107
AJ002,BG065,0.9274
AJ003,AJ008,0.9341
AJ003,AJ010,0.9096
AJ003,AJ018,0.9128
AJ003,AJ019,0.9939
AJ003,AJ026,0.9314
AJ003,AJ029,0.9334
AJ003,AJ033,0.9775
AJ003,AJ035,0.9429
AJ003,AJ038,0.9513
AJ003,AJ041,0.9024
AJ003,AT053,0.9731
AJ004,AJ009,0.9366
AJ004,AJ017,0.9096
AJ004,AJ033,0.9342
AJ004,AJ034,0.9512
AJ004,AJ037,0.9146
AJ004,BF045,0.9055
AJ005,AJ009,0.9828
AJ005,AJ011,0.928
AJ005,AJ017,0.9592
AJ005,AJ018,0.9121
AJ005,AJ025,0.9698
AJ005,AJ032,0.9394
AJ005,AJ042,0.9434
AJ005,AY045,0.9719
AJ005,AZ055,0.9389
AJ006,AJ009,0.9673
AJ006,AJ030,0.9189
AJ006,AP005,0.9259
AJ007,AJ018,0.9587
AJ007,AJ020,0.9301
AJ007,AJ021,0.9203
AJ007,AJ023,0.9139
AJ007,AJ035,0.95
AJ007,AJ036,0.9155
AJ007,AJ039,0.9431
AJ008,AJ010,0.9066
AJ008,AJ016,0.9621
AJ008,AJ017,0.9196
