"V1","V2","V3","V4","V5","V6","V7","V8"
"70",4,17,0,0,0,0,32,8
"71",4,18,0.79043,0,0.80295,0.73601,32,16
"72",4,21,0.95528,0.95248,0.86361,0.94153,32,29
"73",4,22,0.91668,0.88722,0.89483,0.84794,32,23
"74",4,27,0.89146,0.82057,0.85927,0.94118,32,17
"75",4,278,0.66074,0,0.90019,0.55723,32,30
"76",4,1043,0.83589,0.51604,0.76286,0.68949,32,4
"77",4,1538,0.80722,0.85552,0,0.74891,32,15
"78",4,1663,0.59662,0.77387,0.90782,0.83309,32,21
"79",4,1669,0.80722,0.83888,0.83841,0.72414,32,31
"80",4,1827,0.82663,0.93367,0.88672,0.72904,32,9
"81",4,1902,0.67217,0.82808,0.77789,0.60652,32,15
"82",5,6,0.67844,0,0.54423,0.56324,22,32
"83",5,8,0.73166,0.65259,0.52814,0.55402,22,32
"84",5,9,0.89393,0.9467,0.93005,0.81466,22,4
"85",5,13,0.69084,0.67529,0.53955,0.67039,22,32
"86",5,14,0.66292,0.92259,0.80268,0.92808,22,31
"87",5,15,0.93467,0.98228,0.93662,0.9581,22,19
"88",5,17,0.85752,0.76141,0.61802,0.76404,22,8
"89",5,20,0.82832,0.77429,0.86956,0.85899,22,12
"90",5,21,0.89798,0.9228,0.96743,0.87308,22,29
"91",5,22,0.86767,0.96626,0.91802,0.89316,22,23
"92",5,23,0.75344,0.90893,0.76764,0.62126,22,9
"93",5,28,0.63945,0.87189,0.80476,0.60757,22,23
"94",5,148,0,0,0.72963,0.73502,22,16
"95",5,368,0,0.93845,0.88264,0.94249,22,5
"96",5,890,0.79003,0.57082,0,0.80013,22,12
"97",5,1014,0.72747,0,0.73161,0,22,31
"98",5,1310,0.93913,0.96943,0.8369,0.89574,22,22
"99",5,1787,0.68465,0.70821,0,0,22,13
"100",6,12,0,0,0,0,32,3
"101",6,14,0,0,0,0.73848,32,31
"102",6,16,0.88336,0,0.8195,0,32,15
"103",6,23,0.85662,0.69239,0.70308,0.85274,32,9
"104",6,89,0.97843,0.89507,0.84676,0.76692,32,2
"105",6,338,0.81109,0.69506,0.8329,0.94301,32,27
"106",6,367,0.93393,0.8813,0.77178,0.87187,32,9
"107",6,751,0.56465,0.89967,0.62916,0,32,12
"108",6,803,0.80687,0.81336,0.82628,0.79979,32,32
"109",6,1041,0.74199,0.71683,0.62632,0.76005,32,27
"110",6,1156,0.77782,0.54778,0.70559,0.78598,32,27
"111",6,1221,0,0.56713,0.70212,0.72199,32,29
"112",6,1244,0.68512,0.8366,0.55618,0.69305,32,31
"113",6,1420,0.98234,0.86176,0.95674,0.92943,32,20
"114",6,1526,0.92077,0.88334,0.9791,0.8963,32,21
"115",6,1720,0.72134,0.70393,0.80363,0.75682,32,19
"116",6,1831,0.96792,0.8786,0.85214,0.87154,32,16
"117",7,10,0,0.94756,0,0.69651,23,29
"118",7,13,0.60178,0.67488,0.80931,0.94424,23,32
"119",7,15,0,0,0,0,23,19
"120",7,17,0.94207,0.94511,0.9448,0.73171,23,8
"121",7,18,0.81555,0.88954,0.80783,0.84286,23,16
"122",7,21,0.83282,0.68563,0.70619,0.58746,23,29
"123",7,23,0.9269,0.52502,0.89421,0.92697,23,9
"124",7,25,0.89037,0.8745,0.86469,0.75674,23,30
"125",7,28,0.64744,0.86386,0.6072,0.86387,23,23
"126",7,523,0.66443,0.68175,0.87299,0.77371,23,32
"127",7,526,0.93431,0.80277,0.74694,0.81148,23,30
"128",7,529,0.81068,0.69898,0.52778,0.60847,23,29
"129",7,1191,0.86267,0.66908,0.62545,0.80428,23,25
"130",7,1478,0.682,0.81365,0.72866,0.80992,23,21
"131",7,1640,0.83899,0.86152,0.68866,0.88898,23,14
"132",7,1719,0.65191,0,0.79018,0.7817,23,14
"133",7,1850,0.91904,0.96266,0.82162,0.98127,23,8
"134",8,9,0.74018,0.52843,0.62787,0.60307,32,4
"135",8,12,0,0,0,0.59234,32,3
"136",8,16,0.87704,0,0.90747,0.94063,32,15
"137",8,18,0.92277,0.97317,0.92158,0.93532,32,16
"138",8,26,0.54993,0.76349,0.87134,0.61928,32,25
"139",8,28,0.77385,0.88306,0.65871,0.51729,32,23
"140",8,119,0.62205,0,0.82851,0,32,29
"141",8,517,0,0,0.52327,0.59754,32,16
"142",8,591,0.62686,0.78956,0.84067,0.78706,32,8
"143",8,911,0.8589,0.69472,0.88562,0.94445,32,5
"144",8,934,0.92449,0.87354,0.98431,0.96088,32,23
"145",8,1206,0.87355,0.82732,0.98178,0.96099,32,9
"146",8,1415,0.93722,0.96991,0.97737,0.81385,32,19
"147",8,1487,0.76626,0.85786,0.82841,0.91612,32,24
"148",8,1499,0.88379,0.92827,0.86927,0.73301,32,6
"149",8,1746,0.64088,0.71224,0.6816,0.5481,32,19
"150",8,1783,0.87024,0.80285,0.82858,0.9503,32,25
"151",8,1892,0.87523,0.61566,0.94307,0.84387,32,28
"152",8,1921,0.57697,0.93762,0,0,32,8
"153",8,1927,0.62508,0.80878,0.70883,0.7033,32,7
"154",8,1965,0.76508,0.68858,0.71959,0.86274,32,25
"155",9,16,0.82037,0.86922,0.7538,0.76952,4,15
"156",9,18,0.57596,0.65826,0.5497,0.52449,4,16
"157",9,20,0.96456,0.91781,0.80637,0.94664,4,12
"158",9,23,0.66856,0.61212,0,0,4,9
"159",9,24,0.96519,0.92065,0.97509,0.969,4,12
"160",9,26,0,0.70978,0,0,4,25
"161",9,35,0.97848,0.88881,0.8198,0.961,4,14
"162",9,238,0.59771,0.57189,0.76383,0.90842,4,27
"163",9,466,0,0.5429,0.91424,0.89248,4,17
"164",9,529,0.82989,0.76731,0.87106,0.56136,4,29
"165",9,579,0.96573,0,0.9356,0.85916,4,24
"166",9,592,0.87512,0.829,0.92837,0.83381,4,25
"167",9,816,0.61489,0.53768,0.6695,0.92898,4,27
"168",9,1352,0.7773,0.92122,0.81339,0.89707,4,12
"169",9,1458,0.93039,0.97796,0.90844,0.97434,4,22
"170",9,1619,0.75352,0.89245,0.67943,0.81394,4,14
"171",9,1820,0.57587,0.79102,0.84198,0.90543,4,14
"172",9,1866,0.81778,0.90266,0.75379,0.8532,4,13
"173",9,1923,0.5021,0,0.76524,0.79378,4,4
"174",10,14,0.88649,0.91469,0.98136,0.95015,29,31
"175",10,18,0.96805,0.80682,0.96525,0.95376,29,16
"176",10,20,0.86714,0.72966,0.86907,0.70729,29,12
"177",10,21,0,0,0,0,29,29
"178",10,22,0.85677,0.70763,0.59044,0,29,23
"179",10,23,0.80058,0,0.88805,0.57603,29,9
"180",10,24,0.91751,0.6954,0.73217,0.91058,29,12
"181",10,25,0.73944,0.88491,0.93202,0.89053,29,30
"182",10,56,0.8762,0.96172,0.93547,0.81769,29,6
"183",10,85,0,0,0.5969,0,29,25
"184",10,132,0.7709,0.88266,0.84044,0.71124,29,13
"185",10,487,0.78411,0,0.80333,0.69056,29,29
"186",10,539,0,0.88971,0.79899,0.76491,29,30
"187",10,722,0.92115,0.94958,0.87886,0.75694,29,27
"188",10,1208,0.64549,0,0.7791,0.65522,29,9
"189",10,1221,0.97524,0.8506,0.93651,0.96643,29,29
"190",10,1276,0,0,0.70498,0.55035,29,20
"191",10,1345,0.82859,0.83564,0.70284,0.88726,29,31
"192",10,1439,0.90083,0.78576,0.73774,0.79609,29,27
"193",10,1695,0.87724,0.72268,0.88481,0.63782,29,26
"194",10,1985,0.53472,0,0.76042,0.6386,29,24
"195",11,14,0.95808,0.96715,0.97129,0.96959,1,31
"196",11,15,0,0.75645,0.65423,0.91817,1,19
"197",11,18,0.63346,0.94211,0.6715,0,1,16
"198",11,19,0,0,0,0,1,10
"199",11,27,0,0.56268,0,0,1,17
"200",11,28,0.85221,0,0.84936,0.83813,1,23
"201",11,155,0.74943,0.88285,0.93308,0.68552,1,21
"202",11,193,0.93829,0.97967,0.98077,0.92951,1,31
"203",11,292,0.924,0.97206,0.88107,0.64316,1,18
"204",11,548,0.59705,0.85125,0.85289,0.86324,1,23
"205",11,687,0.82248,0.76226,0.82208,0.58951,1,19
"206",11,735,0.94822,0.94825,0.97946,0.93656,1,15
"207",11,854,0,0.70325,0.62128,0.75117,1,25
"208",11,891,0,0,0,0,1,5
"209",11,1087,0.93674,0.88767,0.91071,0.9204,1,27
"210",11,1389,0.69364,0.89758,0.82617,0.60523,1,32
"211",11,1471,0.92132,0.95677,0.91323,0.62709,1,8
"212",11,1558,0.90668,0.80196,0.86363,0.97063,1,16
"213",11,1634,0.80862,0.72871,0.85599,0.72211,1,31
"214",11,1726,0.94849,0.84037,0.89568,0.95174,1,22
"215",11,1982,0.92953,0.88001,0.71359,0.88276,1,30
"216",11,1996,0.68354,0.9517,0.93223,0.88062,1,21
"217",12,13,0.84514,0.82716,0.78971,0.90788,3,32
"218",12,16,0.50125,0.89512,0,0.84514,3,15
"219",12,17,0,0,0.52057,0.79815,3,8
"220",12,18,0.89304,0.88312,0.82058,0.8578,3,16
"221",12,20,0.53906,0.67775,0.60955,0.70722,3,12
"222",12,21,0.78557,0.85301,0.68742,0.68291,3,29
"223",12,28,0,0.87233,0.70684,0.8438,3,23
"224",12,382,0.7172,0.88143,0.81511,0.95234,3,10
"225",12,491,0.65609,0.56861,0.5484,0.60507,3,29
"226",12,579,0.95432,0.94668,0.94894,0.9904,3,24
"227",12,583,0.8912,0.84585,0.92462,0.97006,3,30
"228",12,796,0.94066,0.85158,0.51897,0.53601,3,13
"229",12,903,0.94038,0,0.93697,0.88562,3,13
"230",12,1006,0.92169,0.79888,0.86059,0.96348,3,32
"231",12,1433,0.77426,0.74643,0.76184,0.77079,3,6
"232",12,1848,0.79869,0.78338,0.5088,0.82002,3,30
"233",12,1973,0.86672,0.84586,0.73022,0.85195,3,27
"234",13,14,0.60846,0.65335,0,0.75867,32,31
"235",13,16,0.85635,0.95557,0.82606,0.93796,32,15
"236",13,18,0.88453,0.55477,0.63765,0.7781,32,16
"237",13,19,0.79434,0.95321,0.79124,0.90032,32,10
"238",13,20,0.60823,0.82068,0.68074,0.79023,32,12
"239",13,21,0.77021,0.92236,0.70903,0.79547,32,29
"240",13,22,0.65148,0.79128,0.84381,0.87536,32,23
"241",13,24,0.90134,0.75427,0.94033,0.66571,32,12
"242",13,26,0.87072,0,0.75117,0,32,25
"243",13,28,0.53911,0,0,0.5747,32,23
"244",13,88,0.52003,0.80689,0.64019,0.8859,32,25
"245",13,229,0.80048,0.73697,0.96099,0.92667,32,18
"246",13,309,0,0,0,0.61542,32,19
"247",13,352,0.98381,0.9395,0.92545,0.98764,32,16
"248",13,617,0.5195,0.61767,0.5859,0.61519,32,19
"249",13,641,0.72309,0.65719,0.81974,0.77569,32,32
"250",13,722,0.73603,0.7995,0.88541,0.51824,32,27
"251",13,953,0.86058,0.82595,0.91623,0.87515,32,22
"252",13,1060,0.86968,0.50879,0.68203,0.67701,32,10
"253",13,1399,0.80552,0.95008,0.93093,0.89839,32,7
"254",13,1443,0.58149,0.77612,0.69668,0,32,24
"255",13,1526,0.56588,0.88637,0.86838,0,32,21
"256",13,1539,0.9425,0.89978,0.55847,0,32,18
"257",13,1849,0.86909,0.95046,0.842,0.9278,32,13
"258",13,1938,0.90831,0.71975,0.5729,0.58215,32,11
"259",14,15,0.90817,0.93903,0.64126,0.81855,31,19
"260",14,19,0.74287,0.97436,0.81823,0,31,10
"261",14,26,0.98197,0.89562,0.92289,0.93284,31,25
"262",14,28,0.91927,0.95141,0.96621,0.70189,31,23
"263",14,357,0.95387,0.82886,0.75246,0.95422,31,2
"264",14,503,0.81395,0.82576,0.79495,0.64068,31,32
"265",14,873,0,0.6895,0,0.61471,31,21
"266",14,970,0.86914,0.51108,0.57481,0.55854,31,23
"267",14,1112,0.94352,0.88123,0.84264,0.86843,31,3
"268",14,1380,0.76022,0.78697,0.86979,0.864,31,10
"269",14,1507,0.829,0.89558,0.94657,0.87668,31,29
"270",14,1846,0.59141,0.52262,0.78273,0.69167,31,31
"271",14,1901,0.97561,0.94239,0.95243,0.89668,31,4
"272",15,20,0.7841,0.83582,0.71485,0.92874,19,12
"273",15,25,0.8433,0.96325,0.85244,0.93726,19,30
"274",15,26,0.67938,0.71077,0.51509,0,19,25
"275",15,28,0.94376,0.85025,0.71299,0.70175,19,23
"276",15,289,0.79719,0.77646,0.62258,0.80035,19,18
"277",15,374,0.93087,0.67817,0.87359,0.85947,19,15
"278",15,472,0.78598,0.90245,0.93862,0.86863,19,9
"279",15,1013,0.68353,0.61352,0,0,19,27
"280",15,1182,0,0,0.61889,0,19,26
"281",15,1289,0.86519,0.84751,0.65123,0.61339,19,21
"282",15,1927,0.66241,0.9153,0.83243,0.86163,19,7
"283",16,17,0.72275,0.89587,0.88774,0.79491,15,8
"284",16,19,0.9123,0.75831,0.8662,0.61078,15,10
"285",16,26,0.8431,0.86079,0.88218,0.89967,15,25
"286",16,27,0.77273,0.95229,0.69106,0.90338,15,17
"287",16,133,0.65455,0.8599,0.87639,0.53694,15,7
"288",16,702,0.77933,0.78291,0.60224,0.51609,15,11
"289",16,913,0.9585,0.7442,0.90673,0.8323,15,27
"290",16,941,0.87267,0.63215,0.84153,0.83326,15,23
"291",16,1012,0.6349,0,0.73104,0.79619,15,3
"292",16,1114,0.63371,0.89341,0.92331,0.5489,15,15
"293",16,1526,0.63794,0.77682,0.64335,0.62712,15,21
"294",16,1714,0.84098,0.76834,0.86451,0.6153,15,20
"295",16,1723,0.7474,0,0,0,15,17
"296",16,1862,0,0,0,0,15,23
"297",16,1904,0.86153,0.80964,0.92674,0.72838,15,23
"298",16,1950,0.93987,0.92016,0.95916,0.90512,15,8
"299",17,21,0.78791,0.9805,0.67279,0.91018,8,29
"300",17,22,0.95213,0.96828,0.87698,0.98329,8,23
"301",17,23,0.96149,0.71858,0.90299,0.93468,8,9
"302",17,230,0,0.69156,0,0,8,7
"303",17,732,0.78906,0.63955,0.8047,0.88057,8,26
"304",17,1057,0.5989,0.77641,0.70585,0.70942,8,27
"305",17,1294,0.69318,0.6326,0,0,8,7
"306",17,1952,0.87902,0.94285,0.89275,0.86077,8,4
"307",18,20,0.92814,0.95203,0.90816,0.96678,16,12
"308",18,21,0.84902,0.73965,0.82463,0.64295,16,29
"309",18,22,0.93665,0.81981,0.86937,0.9355,16,23
"310",18,24,0.92071,0.93063,0.89026,0.95518,16,12
"311",18,27,0.92917,0.94664,0.96467,0.96469,16,17
"312",18,79,0.86967,0.65493,0.89257,0.86561,16,15
"313",18,126,0.9449,0,0.81188,0.83365,16,13
"314",18,218,0,0.70483,0,0.67324,16,26
"315",18,219,0.89264,0,0.9326,0.79149,16,24
"316",18,286,0.52234,0,0.89654,0.51952,16,1
"317",18,338,0.5535,0.722,0.72432,0.69885,16,27
"318",18,490,0.77154,0.69041,0.70558,0.59953,16,15
"319",18,521,0.8963,0.58331,0.86966,0.93146,16,23
"320",18,594,0.52792,0.74655,0,0,16,24
"321",18,596,0,0.53801,0.85086,0.81174,16,3
"322",18,803,0.67233,0.79167,0.9529,0.91168,16,32
"323",18,892,0.91869,0.84591,0.65092,0.74119,16,7
"324",18,931,0.69615,0.71176,0.77972,0.72595,16,23
"325",18,1067,0.89535,0.68008,0.8127,0.96485,16,23
"326",18,1315,0.73222,0.93554,0.88786,0.89748,16,4
"327",18,1431,0.8717,0.6831,0.94971,0.64656,16,6
"328",18,1541,0.6062,0.88504,0.87274,0.64653,16,32
"329",18,1691,0.75369,0.6594,0.58907,0.68044,16,30
"330",18,1774,0.63507,0.61636,0.90863,0.86837,16,15
"331",18,1782,0.78474,0.63471,0.81229,0.73577,16,31
"332",19,20,0.71524,0.73509,0.88027,0.51341,10,12
"333",19,21,0.90099,0.87673,0,0.62871,10,29
"334",19,24,0.82056,0.61373,0.82688,0,10,12
"335",19,25,0,0.8556,0.66423,0.88818,10,30
"336",19,26,0.52314,0,0.69067,0,10,25
"337",19,27,0,0.66763,0,0,10,17
"338",19,81,0.81551,0,0.79079,0.68264,10,26
"339",19,269,0.67124,0.93349,0,0.91429,10,22
"340",19,284,0.80722,0.65741,0.9024,0,10,6
"341",19,317,0.94122,0.98643,0.86837,0.95754,10,9
"342",19,751,0.91645,0.91102,0.93488,0.64174,10,12
"343",19,776,0.89076,0.77938,0.59189,0.63622,10,23
"344",19,930,0,0.86201,0.7765,0.60976,10,18
"345",19,946,0.86269,0,0.70508,0,10,28
"346",19,986,0.85814,0.7567,0.98639,0.95002,10,13
"347",19,1180,0,0.85944,0.7694,0.8869,10,2
"348",19,1634,0.83095,0.64046,0.73782,0.58938,10,31
"349",19,1828,0.86414,0.86666,0.93098,0.78094,10,14
"350",19,1833,0.92594,0.91628,0.95491,0.94854,10,13
"351",20,21,0.76988,0.7599,0.74209,0.72821,12,29
"352",20,22,0,0.58667,0.84501,0.81038,12,23
"353",20,24,0.97769,0.9268,0.87235,0.92998,12,12
"354",20,26,0.64131,0.5555,0.84967,0,12,25
"355",20,27,0,0.66585,0.88789,0,12,17
"356",20,28,0.54512,0.84402,0.76157,0.54612,12,23
"357",20,44,0.58547,0.61849,0.68359,0.95165,12,18
"358",20,825,0.92178,0.77421,0.80669,0.78083,12,9
"359",20,960,0.78773,0.65686,0.96811,0.58132,12,2
"360",20,1066,0.7757,0.78105,0.59862,0.93712,12,32
"361",20,1133,0.76098,0,0.84132,0,12,26
"362",20,1505,0.88767,0.98499,0.92345,0.98333,12,14
"363",20,1866,0.5657,0.56027,0,0,12,13
"364",20,1930,0.95508,0.84613,0.97059,0.72645,12,27
"365",20,1939,0.97386,0.96078,0.90711,0.94517,12,9
"366",21,100,0.69366,0,0,0,29,4
"367",21,180,0.87096,0.96193,0.93211,0.87935,29,8
"368",21,363,0.73186,0.89734,0.93165,0.93239,29,11
"369",21,494,0.94424,0.86535,0.9151,0.9096,29,31
"370",21,710,0.81341,0,0.51155,0.77144,29,19
"371",21,746,0.67758,0.8854,0.61978,0.7749,29,30
"372",21,747,0.60753,0.77876,0.70215,0.80574,29,4
"373",21,848,0.8137,0.83713,0.80874,0.7762,29,24
"374",21,1073,0.81519,0.57803,0.88887,0,29,23
"375",21,1522,0.94316,0.94892,0.68155,0.97436,29,4
"376",21,1597,0.92909,0.88368,0.79673,0.8267,29,3
"377",21,1700,0.61718,0.90809,0.69251,0.922,29,26
"378",21,1890,0,0.85789,0.59018,0.84264,29,27
"379",22,24,0.8612,0.96759,0.96565,0.88563,23,12
"380",22,27,0.9311,0.83226,0.89646,0.66803,23,17
"381",22,286,0.58507,0.54128,0.67073,0.86397,23,1
"382",22,464,0.85442,0.84732,0.96393,0.93881,23,29
"383",22,489,0.84219,0.77216,0.82883,0.92078,23,21
"384",22,1238,0.93858,0.66372,0.74889,0.84352,23,8
"385",22,1369,0.87864,0.93103,0.9622,0.7871,23,32
"386",22,1422,0.53157,0.50019,0,0.71638,23,16
"387",22,1674,0.99018,0.98922,0.97652,0.86642,23,25
"388",22,1733,0.6812,0.96867,0.953,0.95351,23,25
"389",22,1767,0.9701,0.89855,0.82515,0.90591,23,27
"390",22,1781,0.84706,0.58694,0,0,23,32
"391",23,26,0.59,0.83367,0.85591,0.89956,9,25
"392",23,27,0.81532,0,0.9294,0.51335,9,17
"393",23,247,0.91708,0.79526,0.8972,0.88392,9,30
"394",23,313,0.83155,0.73973,0.80811,0.72063,9,17
"395",23,356,0.58849,0.61041,0.71395,0.77151,9,11
"396",23,402,0.8553,0,0.51575,0.73497,9,9
"397",23,455,0.86834,0.86755,0.666,0.79172,9,5
"398",23,466,0.91378,0.78501,0.97266,0.97846,9,17
"399",23,775,0,0.81565,0.83811,0.52389,9,1
"400",23,783,0.83974,0.68073,0.82229,0.97258,9,3
"401",23,924,0.73532,0.69824,0.60839,0.70784,9,16
"402",23,1004,0.74605,0.61592,0.87272,0.632,9,8
"403",23,1300,0,0.7538,0.90267,0.76285,9,31
"404",23,1387,0,0.80036,0,0.90822,9,29
"405",23,1427,0.75324,0.92416,0.78113,0.95268,9,17
"406",23,1693,0.94889,0.82813,0.88853,0.88343,9,20
"407",23,1724,0.92202,0.65741,0.83042,0.91038,9,8
"408",24,25,0.67039,0.85644,0.86273,0.72886,12,30
"409",24,26,0.91396,0.92838,0.90743,0.87216,12,25
"410",24,27,0.93918,0.75165,0.78408,0.89868,12,17
"411",24,28,0.94449,0.62052,0.66024,0.82312,12,23
"412",24,108,0.96483,0.94984,0.92693,0.71484,12,25
"413",24,310,0.91116,0.93175,0.94773,0.94256,12,11
"414",24,482,0.95259,0.92068,0.91894,0.9636,12,27
"415",24,1275,0.79091,0.62735,0.67177,0.90107,12,26
"416",24,1416,0.83817,0.96246,0.89394,0.95342,12,17
"417",24,1497,0.65434,0.85465,0.74968,0.51648,12,2
"418",25,26,0.92286,0.79349,0.89048,0.90916,30,25
"419",25,304,0.86893,0.93868,0.89157,0.92352,30,22
"420",25,552,0,0.64961,0.73668,0.76983,30,17
"421",25,1144,0,0.64942,0,0.7782,30,30
"422",25,1537,0.76998,0.85935,0.91258,0.9333,30,24
"423",25,1589,0.91477,0.82884,0.8318,0.96063,30,28
"424",25,1923,0.75571,0.76012,0.9053,0.79854,30,4
"425",26,27,0.73687,0.64483,0.85664,0.91547,25,17
"426",26,28,0.93357,0.90146,0.849,0.86261,25,23
"427",26,108,0.58848,0.67464,0.816,0.52011,25,25
"428",26,532,0.95898,0.90428,0.83294,0.86057,25,5
"429",26,612,0.9918,0.97329,0.57652,0.81106,25,13
"430",26,753,0.65518,0.7311,0.73752,0,25,21
"431",26,763,0.72637,0.89874,0.92188,0.59868,25,27
"432",26,774,0.97168,0.92826,0.93701,0.96733,25,19
"433",26,790,0.55662,0.64788,0.72825,0.66823,25,18
"434",26,896,0.65625,0.83739,0.73093,0.93404,25,31
"435",26,1097,0.85453,0.9686,0.96733,0.90086,25,9
"436",26,1371,0.64205,0.74944,0.70078,0.56989,25,15
"437",26,1479,0.70777,0.87548,0,0.8959,25,30
"438",26,1707,0.58391,0.79443,0.55499,0.80387,25,29
"439",26,1724,0.91735,0.87906,0,0.88733,25,8
"440",26,1828,0.92617,0,0.75316,0.85641,25,14
"441",27,28,0.92171,0.61045,0.59828,0.85048,17,23
"442",27,133,0.835,0.76996,0.80909,0.72574,17,7
"443",27,158,0,0,0,0.70706,17,24
"444",27,177,0.81769,0.87436,0.8028,0,17,11
"445",27,386,0.85006,0.69112,0.84366,0.67073,17,17
"446",27,466,0,0.5701,0,0.65788,17,17
"447",27,848,0.68701,0.94774,0.58283,0.68324,17,24
"448",27,1047,0.95568,0.85537,0.80906,0.78973,17,29
"449",27,1454,0.69789,0,0.54505,0.50628,17,32
"450",27,1533,0.91541,0.77358,0.87587,0.89015,17,30
"451",27,1657,0.60851,0.63526,0.79821,0.87157,17,4
"452",27,1695,0.91478,0.98827,0.95128,0.90146,17,26
"453",27,1755,0.77584,0.83723,0.7701,0.88036,17,28
"454",27,1855,0.81154,0.85337,0.68071,0.81487,17,19
"455",27,1870,0.74605,0.84597,0.81908,0.77327,17,5
"456",27,1876,0.68595,0.76206,0.85894,0.94937,17,21
"457",27,1954,0.93329,0.95597,0.84787,0.93441,17,28
"458",28,113,0,0,0,0.68424,23,19
"459",28,470,0,0,0.53695,0.7418,23,18
"460",28,741,0.89687,0.72393,0.6019,0.78251,23,25
"461",28,809,0.57294,0.63229,0.73706,0.767,23,32
"462",28,960,0.8485,0.88359,0.72394,0.64755,23,2
"463",28,1129,0.66128,0.56794,0.58791,0.83818,23,26
"464",28,1304,0,0.63386,0.63271,0,23,24
"465",28,1544,0.94903,0.99351,0.99143,0.97867,23,22
